data,casa,fora,gols_casa,gols_fora,status
2024-05-12T19:00:00Z,AC Goianiense,Cruzeiro EC,0,1,FINISHED
2024-05-12T19:00:00Z,Fortaleza EC,Botafogo FR,1,1,FINISHED
2024-05-12T19:00:00Z,SE Palmeiras,CA Paranaense,0,2,FINISHED
2024-05-12T21:30:00Z,EC Bahia,RB Bragantino,1,0,FINISHED
2024-05-12T21:30:00Z,CR Vasco da Gama,EC Vitória,2,1,FINISHED
2024-05-13T23:00:00Z,São Paulo FC,Fluminense FC,2,1,FINISHED
2024-06-01T19:00:00Z,Grêmio FBPA,RB Bragantino,0,2,FINISHED
2024-06-01T19:00:00Z,EC Vitória,AC Goianiense,0,2,FINISHED
2024-06-01T21:30:00Z,Cuiabá EC,SC Internacional,0,1,FINISHED
2024-06-01T21:30:00Z,Fluminense FC,EC Juventude,1,1,FINISHED
2024-06-02T00:00:00Z,SC Corinthians Paulista,Botafogo FR,0,1,FINISHED
2024-06-02T19:00:00Z,CA Mineiro,EC Bahia,1,1,FINISHED
2024-06-02T19:00:00Z,Criciúma EC,SE Palmeiras,1,2,FINISHED
2024-06-02T19:00:00Z,CR Vasco da Gama,CR Flamengo,1,6,FINISHED
2024-06-02T21:30:00Z,Fortaleza EC,CA Paranaense,1,0,FINISHED
2024-06-02T21:30:00Z,São Paulo FC,Cruzeiro EC,2,0,FINISHED
2024-06-05T22:00:00Z,EC Juventude,AC Goianiense,1,0,FINISHED
2024-06-05T23:00:00Z,Cuiabá EC,EC Vitória,0,0,FINISHED
2024-06-09T19:00:00Z,Criciúma EC,Cuiabá EC,2,5,FINISHED
2024-06-11T22:00:00Z,AC Goianiense,SC Corinthians Paulista,2,2,FINISHED
2024-06-11T22:00:00Z,EC Juventude,EC Vitória,1,1,FINISHED
2024-06-11T23:00:00Z,Botafogo FR,Fluminense FC,1,0,FINISHED
2024-06-12T00:30:00Z,RB Bragantino,CA Mineiro,1,2,FINISHED
2024-06-13T22:00:00Z,Cruzeiro EC,Cuiabá EC,2,1,FINISHED
2024-06-13T23:00:00Z,CR Flamengo,Grêmio FBPA,2,1,FINISHED
2024-06-13T23:00:00Z,SC Internacional,São Paulo FC,0,0,FINISHED
2024-06-13T23:00:00Z,CA Paranaense,Criciúma EC,3,1,FINISHED
2024-06-14T00:30:00Z,EC Bahia,Fortaleza EC,1,0,FINISHED
2024-06-14T00:30:00Z,SE Palmeiras,CR Vasco da Gama,2,0,FINISHED
2024-06-15T21:30:00Z,RB Bragantino,EC Juventude,2,1,FINISHED
2024-06-16T00:00:00Z,Fluminense FC,AC Goianiense,1,2,FINISHED
2024-06-16T19:00:00Z,CA Paranaense,CR Flamengo,1,1,FINISHED
2024-06-16T19:00:00Z,SC Corinthians Paulista,São Paulo FC,2,2,FINISHED
2024-06-16T19:00:00Z,EC Vitória,SC Internacional,2,1,FINISHED
